City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Victoria,HK,68.32,clear sky,22.2855,114.1577,Mini Hotel Central
6,Ihosy,MG,69.55,overcast clouds,-22.4,46.1167,Hotely Sariaka
13,Port Alfred,ZA,69.91,light rain,-33.5906,26.891,The Halyards Hotel
14,Pisco,PE,73.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
18,Busselton,AU,57.04,broken clouds,-33.65,115.3333,Observatory Guest House
24,Kaitangata,NZ,53.92,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
27,Hermanus,ZA,63.9,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
28,Ushuaia,AR,62.26,scattered clouds,-54.8,-68.3,Albatros Hotel
29,Olean,US,64.13,overcast clouds,42.0776,-78.4297,Best Western Plus University Inn
31,Araria,IN,59.97,clear sky,26.15,87.5167,Ravin Hotel
34,Bredasdorp,ZA,61.29,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
38,Punta Arenas,CL,57.31,broken clouds,-53.15,-70.9167,Hotel Hain
41,Bluff,NZ,51.8,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
47,Cape Town,ZA,66.09,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
48,Ribeira Grande,PT,66.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
52,Vila Franca Do Campo,PT,67.19,few clouds,37.7167,-25.4333,Pestana Bahia Praia
53,Mar Del Plata,AR,67.87,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
57,Christchurch,NZ,55.99,broken clouds,-43.5333,172.6333,The George
58,Carnarvon,AU,68.07,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
59,Hobart,AU,52.05,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
61,Kainantu,PG,59.22,moderate rain,-6.2887,145.8655,Sylvester buku
66,Cidreira,BR,71.4,clear sky,-30.1811,-50.2056,Hotel Castelo
68,Bethel,US,59.0,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
70,East London,ZA,71.51,overcast clouds,-33.0153,27.9116,Tu Casa
76,Kruisfontein,ZA,63.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
78,Arlit,NE,71.58,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
80,Hun,LY,58.37,clear sky,29.1268,15.9477,Alrwasi Hotel
81,Lagoa,PT,64.42,overcast clouds,39.05,-27.9833,Casa Das Faias
82,Camana,PE,71.47,few clouds,-16.6228,-72.7111,Hostal Morales
85,Geraldton,AU,64.81,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
87,Jamestown,US,63.72,light rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
88,Conroe,US,58.62,overcast clouds,30.3119,-95.456,Hampton Inn & Suites Conroe - I-45 North
89,Nizwa,OM,64.09,clear sky,22.9333,57.5333,Orient Apartments
90,Payakumbuh,ID,70.05,overcast clouds,-0.2202,100.6308,OYO 3114 Homestay Dalimo
91,Adelaide,AU,69.42,clear sky,-34.9333,138.6,The Chancellor on Currie
94,Saint George,US,52.27,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
95,Coquimbo,CL,67.73,clear sky,-29.9533,-71.3436,Punto de encuentro
97,Ulladulla,AU,58.87,clear sky,-35.35,150.4667,Sandpiper Motel
98,Ancud,CL,54.93,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
100,Esperance,AU,60.15,scattered clouds,-33.8667,121.9,Hospitality Esperance
101,Bengkulu,ID,74.97,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
109,Lakes Entrance,AU,54.16,overcast clouds,-37.8811,147.981,The Esplanade Resort & Spa
113,Port Elizabeth,ZA,66.09,overcast clouds,-33.918,25.5701,39 On Nile Guest House
114,Mataura,NZ,51.48,broken clouds,-46.1927,168.8643,Ellie's Villa
115,Ponta Do Sol,PT,66.0,scattered clouds,32.6667,-17.1,Hotel do Campo
119,Natchez,US,56.64,overcast clouds,31.5604,-91.4032,Hampton Inn & Suites Natchez
121,Lebu,CL,58.64,clear sky,-37.6167,-73.65,Hostal Las Lilas
124,Kapchorwa,UG,62.04,scattered clouds,1.3965,34.4509,Amis Cheshari's Residence
129,Half Moon Bay,US,59.72,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
131,Naze,JP,62.73,clear sky,28.3667,129.4833,Shishime Hotel
